,0
0,Nevada
1,South Dakota
2,New York
3,North Carolina
4,Maryland
5,Oklahoma
6,South Carolina
7,Kentucky
8,Arizona
9,Idaho
10,Montana
11,New Jersey
12,Texas
13,Connecticut
14,Nebraska
15,Utah
16,Delaware
17,Indiana
18,Colorado
19,Vermont
20,Louisiana
21,New Hampshire
22,Massachusetts
23,North Dakota
24,Missouri
25,New Mexico
26,Hawaii
27,Wyoming
28,Mississippi
29,Iowa
30,California
31,Tennessee
32,Florida
33,Alabama
34,Michigan
35,Washington
36,Oregon
37,Ohio
38,Georgia
39,Illinois
40,Minnesota
41,West Virginia
42,Alaska
43,Rhode Island
44,Arkansas
45,Virginia
46,Pennsylvania
47,Wisconsin
48,Kansas
